name,channel_id
Meet Kevin,UCUvvj5lwue7PspotMDjk5UA
TickerSymbolYOU,UC7kCeZ53sli_9XwuQeFxLqw
All-In Podcast,UCESLZhusAkFfsNsApnjF_Cg
Ark,UCK-zlnUfoDHzUwXcbddtnkg
Bg2 Pod,UC-yRDvpR99LUc5l7i7jLzew
Dumb Money,UCS01CiRDAiyhR_mTHXDW23A
AndreiJikh,UCGy7SkBjcIAgTiwkXEtPnYg
JosephCarlson,UCfCT7SSFEWyG4th9ZmaGYqQ
ThePlainBagel,UCFCEuCsyWP0YkP3CZ3Mr01Q
RickyGutierrez,UCtlAFoYl2aWb6pMiHCctQHA
StockMarketTV,UCr5imBwmPNqkrbM1We8xRDA
The Disciplined Investor,UC9C0OTI95PzLeWi0mBm8FgQ
ILTB_Podcast,UCpQBb0fToph3jrDulwz1iUQ
TheCompoundNews,UCBRpqrzuuqE8TZcWw75JSdw
CurzioResearch,UCazSCRf3rlmx7LB4sfrjOPA
howardlindzon,UCdHmRHXX9yQe07xpndq9wHA
Stocktwits,UC-jIhZaxorxp2_TXJaWKZcQ
ivanhoff,UCXMZ-SdeuuNpOeuEqIGlZgA
a16z,UC9cn0TuPq4dnbTY-CBsm8XA
Lumida_Wealth,UCNLonYtxiMjTJkVaRyGkzlg
MilkRoad,UC0tMvte4_cvUtkKf9APAvvA
realvision,UCBH5VZE_Y4F3CMcPIzPEB5A
MacroVoices,UCICRehoZjq3ZtAWgRJX118A
GeorgeGammon,UCpvyOqtEc86X8w8_Se0t4-w
LynAldenMedia,UC26OTzxt9ixdrr3qdUJrYBQ
ForwardGuidanceBW,UCEOv-8wHvYC6mzsY2Gm5WcQ
AnthonyPompliano,UCML9PlpcOxM_H53IM0fa4XA
Bankless,UCCRxYlYOmLE2l5wxs3ckJtg
BloombergPodcasts,UChF5O40UBqAc82I7-i5ig6A
InvestAnswers,UCH6KS5IiLfTyunVHPCDYT8Q
GrahamStephan,UCV6KDgJskWaEckne5aPA0aQ
VirtualBacon,UCcrEA_xd9Ldf1C8DIJYdyyA
CNBCtelevision,UCrp_UI8XtuYfpiqluWLD7Lw
TheSlowHunch,UCBqLNYVORcqD6MxA1Pd-MOQ
EGC,UCu6m-hKAmP1Okl2L-wSa2zg
FinancialEducation,UCnMn36GT_H0X-w5_ckLtlgQ
morningstar,UChub1tZZuWn9YYHJZZYTbMg
MotleyFool,UCpRQuynBX9Qy9tPrcswpPag
zackspodcasts5065,UC-LUnqpbzxTePxOTEbCgf2Q
TheMarketHuddle,UCTNgTBKATr18Z7kR32rKOBw
ycombinator,UCxIJaCMEptJjxmmQgGFsnCg
stripe,UCM1guA1E-RHLO2OyfQPOkEQ
garyvee,UChjfv8-vAA1CZA84f-h5X_Q
ExcessReturns,UCPYvx_y92dvI1PSdiho0ALw
amitinvesting,UCjZnbgPb08NFg7MHyPQRZ3Q
MilkRoadDaily,UCEaYvbpM1JI2HWKvnikBT-g
menthorq,UC7fQs5Toc9ODEQG0ih54W2w
TheRundown,UC5EgUJPv3afAibSzvNceCHw
Arthur Hayes Explains Stablecoins,UCKMeK-HGHfUFFArZ91rzv5A
